time,value
1.414000000000000000e+04,1.025517959594726562e+02
1.414100000000000000e+04,6.968929290771484375e+01
1.414200000000000000e+04,6.999596405029296875e+01
1.414300000000000000e+04,1.027350540161132812e+02
1.414400000000000000e+04,1.463684692382812500e+02
1.414500000000000000e+04,1.453624267578125000e+02
1.414600000000000000e+04,1.185660476684570312e+02
1.414700000000000000e+04,1.343259887695312500e+02
1.414800000000000000e+04,1.133975067138671875e+02
1.414900000000000000e+04,6.016751098632812500e+01
1.415000000000000000e+04,1.015644607543945312e+02
1.415100000000000000e+04,1.104542083740234375e+02
1.415200000000000000e+04,6.719852447509765625e+01
1.415300000000000000e+04,1.159032363891601562e+02
1.415400000000000000e+04,9.047566223144531250e+01
1.415500000000000000e+04,1.007155075073242188e+02
1.415600000000000000e+04,8.744260406494140625e+01
1.415700000000000000e+04,3.384609603881835938e+01
1.415800000000000000e+04,5.531686019897460938e+01
1.415900000000000000e+04,9.386400604248046875e+01
1.416000000000000000e+04,6.495832061767578125e+01
1.416100000000000000e+04,6.566516113281250000e+01
1.416200000000000000e+04,6.295747756958007812e+01
1.416300000000000000e+04,6.695916748046875000e+01
1.416400000000000000e+04,5.607979965209960938e+01
1.416500000000000000e+04,3.010993385314941406e+01
1.416600000000000000e+04,5.805446624755859375e+01
1.416700000000000000e+04,2.444398689270019531e+01
1.416800000000000000e+04,3.627328872680664062e+01
1.416900000000000000e+04,6.750145721435546875e+01
1.417000000000000000e+04,4.372317123413085938e+01
1.417100000000000000e+04,5.830130004882812500e+01
1.417200000000000000e+04,6.557540893554687500e+01
1.417300000000000000e+04,6.233291244506835938e+01
1.417400000000000000e+04,2.510968780517578125e+01
1.417500000000000000e+04,2.418967247009277344e+01
1.417600000000000000e+04,2.918243980407714844e+01
1.417700000000000000e+04,5.642387008666992188e+01
1.417800000000000000e+04,1.688564872741699219e+01
1.417900000000000000e+04,2.722647190093994141e+00
1.418000000000000000e+04,6.161859130859375000e+01
1.418100000000000000e+04,5.755706024169921875e+01
1.418200000000000000e+04,4.180834197998046875e+01
1.418300000000000000e+04,6.176070785522460938e+01
1.418400000000000000e+04,5.041385269165039062e+01
1.418500000000000000e+04,4.255258178710937500e+01
1.418600000000000000e+04,3.065221977233886719e+01
1.418700000000000000e+04,1.188914203643798828e+01
1.418800000000000000e+04,1.667621421813964844e+01
1.418900000000000000e+04,5.858553314208984375e+01
1.419000000000000000e+04,7.049337768554687500e+01
1.419100000000000000e+04,3.589929962158203125e+01
1.419200000000000000e+04,5.037645339965820312e+01
1.419300000000000000e+04,7.067288970947265625e+01
1.419400000000000000e+04,5.289714431762695312e+01
1.419500000000000000e+04,4.763884735107421875e+01
1.419600000000000000e+04,4.576141738891601562e+01
1.419700000000000000e+04,3.602645492553710938e+01
1.419800000000000000e+04,2.252541732788085938e+01
1.419900000000000000e+04,2.151938438415527344e+01
1.420000000000000000e+04,1.619750595092773438e+01
1.420100000000000000e+04,2.487407493591308594e+01
1.420200000000000000e+04,7.574419403076171875e+01
1.420300000000000000e+04,7.081874847412109375e+01
1.420400000000000000e+04,6.546694946289062500e+01
1.420500000000000000e+04,4.164752578735351562e+01
1.420600000000000000e+04,3.774306869506835938e+01
1.420700000000000000e+04,4.441505050659179688e+01
1.420800000000000000e+04,3.627703094482421875e+01
1.420900000000000000e+04,2.737606811523437500e+01
1.421000000000000000e+04,3.869300460815429688e+01
1.421100000000000000e+04,-1.058391690254211426e+00
1.421200000000000000e+04,2.482171630859375000e+01
1.421300000000000000e+04,7.340301513671875000e+01
1.421400000000000000e+04,3.970277786254882812e+01
1.421500000000000000e+04,1.046049976348876953e+01
1.421600000000000000e+04,5.639021301269531250e+01
1.421700000000000000e+04,4.668143081665039062e+01
1.421800000000000000e+04,4.081726837158203125e+01
1.421900000000000000e+04,5.553377532958984375e+01
1.422000000000000000e+04,4.951627731323242188e+01
1.422100000000000000e+04,5.566466903686523438e+01
1.422200000000000000e+04,9.682600975036621094e+00
1.422300000000000000e+04,1.318314743041992188e+01
1.422400000000000000e+04,5.855561447143554688e+01
1.422500000000000000e+04,5.067564392089843750e+01
1.422600000000000000e+04,4.382040786743164062e+01
1.422700000000000000e+04,5.305047988891601562e+01
1.422800000000000000e+04,-2.950781106948852539e+00
1.422900000000000000e+04,6.083695220947265625e+01
1.423000000000000000e+04,6.074719619750976562e+01
1.423100000000000000e+04,4.726111602783203125e+01
1.423200000000000000e+04,3.150865745544433594e+01
1.423300000000000000e+04,3.274656295776367188e+01
1.423400000000000000e+04,6.091175079345703125e+01
1.423500000000000000e+04,6.037320327758789062e+01
1.423600000000000000e+04,2.866259384155273438e+01
1.423700000000000000e+04,3.728680419921875000e+01
1.423800000000000000e+04,5.875008773803710938e+01
1.423900000000000000e+04,5.738502502441406250e+01
1.424000000000000000e+04,5.748226165771484375e+01
1.424100000000000000e+04,2.096961975097656250e+01
1.424200000000000000e+04,8.669088363647460938e+00
1.424300000000000000e+04,5.571702957153320312e+01
1.424400000000000000e+04,5.314397811889648438e+01
1.424500000000000000e+04,6.171208953857421875e+01
1.424600000000000000e+04,7.593866729736328125e+01
1.424700000000000000e+04,4.241420364379882812e+01
1.424800000000000000e+04,4.470302581787109375e+01
1.424900000000000000e+04,4.085466766357421875e+01
1.425000000000000000e+04,3.947838211059570312e+01
1.425100000000000000e+04,1.477260494232177734e+01
1.425200000000000000e+04,1.080457115173339844e+01
1.425300000000000000e+04,7.417717742919921875e+01
1.425400000000000000e+04,7.894554901123046875e+01
1.425500000000000000e+04,7.921108245849609375e+01
1.425600000000000000e+04,3.215192031860351562e+01
1.425700000000000000e+04,3.165451240539550781e+01
1.425800000000000000e+04,7.909888458251953125e+01
1.425900000000000000e+04,7.639119720458984375e+01
1.426000000000000000e+04,7.308138275146484375e+01
1.426100000000000000e+04,5.563101196289062500e+01
1.426200000000000000e+04,1.795525932312011719e+01
1.426300000000000000e+04,-3.381991577148437500e+01
